measured_phenazine,strain,amount_added,added_phenazine,material,replicate,RT,Area,Channel Name,Amount,calcConc
PCN,pBadPel,NA,NA,agar,1,8.853,356210,364.0nm,23.496,75.1872
PYO,pBadPel,NA,NA,agar,1,6.003,20324,313.0nm,0.625,2
PCA,pBadPel,NA,NA,cells,1,3.07,7214,364.0nm,0.474,13.588
PCN,pBadPel,NA,NA,cells,1,8.853,240063,364.0nm,15.835,453.9366666666667
PYO,pBadPel,NA,NA,cells,1,6.001,89148,313.0nm,2.742,78.604
PCA,WTpar,NA,NA,agar,1,3.056,124641,364.0nm,8.182,26.1824
PCN,WTpar,NA,NA,agar,1,8.855,393800,364.0nm,25.976,83.1232
PYO,WTpar,NA,NA,agar,1,6.008,25687,313.0nm,0.79,2.5280000000000005
PCA,WTpar,NA,NA,agar,2,3.043,135302,364.0nm,8.882,28.4224
PCN,WTpar,NA,NA,agar,2,8.861,435638,364.0nm,28.736,91.9552
PYO,WTpar,NA,NA,agar,2,6.009,27091,313.0nm,0.833,2.6656
PCA,WTpar,NA,NA,agar,3,3.04,122418,364.0nm,8.036,25.7152
PCN,WTpar,NA,NA,agar,3,8.854,387178,364.0nm,25.539,81.72480000000002
PYO,WTpar,NA,NA,agar,3,6.003,24705,313.0nm,0.76,2.4320000000000004
PCA,WTwhit,NA,NA,agar,1,3.023,69402,364.0nm,4.556,14.5792
PCN,WTwhit,NA,NA,agar,1,8.864,215002,364.0nm,14.182,45.382400000000004
PYO,WTwhit,NA,NA,agar,1,6.011,16108,313.0nm,0.495,1.584
PCA,WTwhit,NA,NA,agar,2,3.021,119815,364.0nm,7.865,25.168000000000003
PCN,WTwhit,NA,NA,agar,2,8.86,301544,364.0nm,19.89,63.648
PYO,WTwhit,NA,NA,agar,2,6.011,26065,313.0nm,0.802,2.5664000000000002
PCA,WTwhit,NA,NA,agar,3,3.019,98508,364.0nm,6.466,20.691200000000002
PCN,WTwhit,NA,NA,agar,3,8.853,300502,364.0nm,19.822,63.4304
PYO,WTwhit,NA,NA,agar,3,6.005,23599,313.0nm,0.726,2.3232
PCA,WTwhit,NA,NA,cells,1,3.216,9964,364.0nm,0.654,18.748
PCN,WTwhit,NA,NA,cells,1,8.847,203445,364.0nm,13.42,384.7066666666667
PYO,WTwhit,NA,NA,cells,1,6.012,73463,313.0nm,2.26,64.78666666666666
PCA,WTwhit,NA,NA,cells,2,3.174,10315,364.0nm,0.677,19.407333333333334
PCN,WTwhit,NA,NA,cells,2,8.836,236161,364.0nm,15.578,446.56933333333336
PYO,WTwhit,NA,NA,cells,2,5.999,79013,313.0nm,2.43,69.66000000000001
PCA,WTwhit,NA,NA,cells,3,3.19,7213,364.0nm,0.473,13.559333333333333
PCN,WTwhit,NA,NA,cells,3,8.837,239694,364.0nm,15.811,453.2486666666667
PYO,WTwhit,NA,NA,cells,3,6,72145,313.0nm,2.219,63.611333333333334
