PHZadded,treatment,reactor,run,echem_from_swv,rep,minutes_from_swv,E_from_maxs_from_swv,PHZaddedInt,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv,echem_from_gc,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc
75uM,psoralen,transfer,1,SWV,1,956.2333333333333,-0.215,75,i1,2.2213078e-6,2.2213078e-6,-0.008,5.0330834e-7,5.0330834e-7,1.71799946e-6,GC,955.9166666666666,-0.39,163.6665,i2,1.9214184e-7,1.9214184e-7,-0.162,87.666748,2.4686742e-8,2.4686742e-8,1.67455098e-7
75uM,psoralen,transfer,1,SWV,2,960.1833333333333,-0.219,75,i1,1.6797171e-6,1.6797171e-6,-0.026,5.0877469e-7,5.0877469e-7,1.17094241e-6,GC,959.9166666666666,-0.39,163.6665,i2,8.5081965e-8,8.5081965e-8,-0.173,91.333443,1.7496218e-8,1.7496218e-8,6.7585747e-8
75uM,psoralen,transfer,1,SWV,3,964.0833333333334,-0.219,75,i1,1.4693034e-6,1.4693034e-6,-0.023,5.1230558e-7,5.1230558e-7,9.5699782e-7,GC,963.8833333333333,-0.39,163.6665,i2,5.391389e-8,5.391389e-8,-0.177,92.666786,1.3713871e-8,1.3713871e-8,4.0200019e-8
75uM,psoralen,transfer,1,SWV,4,968.1,-0.22,75,i1,1.2962183e-6,1.2962183e-6,-0.021,5.1491753e-7,5.1491753e-7,7.813007700000001e-7,GC,967.9,-0.391,163.99983,i2,3.7373511e-8,3.7373511e-8,-0.186,95.666809,1.2629775e-8,1.2629775e-8,2.4743736e-8
75uM,psoralen,transfer,1,SWV,5,971.9166666666666,-0.218,75,i1,1.1865711e-6,1.1865711e-6,-0.036,5.1717683e-7,5.1717683e-7,6.6939427e-7,GC,971.6833333333333,-0.39,163.6665,i2,2.8973613e-8,2.8973613e-8,-0.181,94.00013,1.0156072e-8,1.0156072e-8,1.8817541e-8
75uM,psoralen,transfer,1,SWV,6,975.75,-0.218,75,i1,1.147715e-6,1.147715e-6,-0.02,5.1518964e-7,5.1518964e-7,6.325253600000001e-7,GC,975.5166666666667,-0.39,163.6665,i2,2.6389175e-8,2.6389175e-8,-0.179,93.333458,9.1959498e-9,9.1959498e-9,1.71932252e-8
75uM,psoralen,transfer,1,SWV,7,979.5666666666667,-0.22,75,i1,1.0922195e-6,1.0922195e-6,-0.037,5.2125853e-7,5.2125853e-7,5.709609699999999e-7,GC,979.35,-0.39,163.6665,i2,2.0893641e-8,2.0893641e-8,-0.183,94.666801,8.4978398e-9,8.4978398e-9,1.23958012e-8
75uM,psoralen,transfer,1,SWV,8,983.5666666666667,-0.223,75,i1,1.1725016e-6,1.1725016e-6,-0.02,5.2721725e-7,5.2721725e-7,6.452843500000001e-7,GC,983.1666666666666,-0.41,170.33307,i2,1.8281785e-8,1.8281785e-8,-0.19,97.000153,7.8977038e-9,7.8977038e-9,1.0384081199999998e-8
75uM,psoralen,transfer,2,SWV,0,1114.8666666666666,-0.22,75,i1,8.1479302e-6,8.1479302e-6,-0.014,5.1927054e-7,5.1927054e-7,7.628659660000001e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,psoralen,transfer,2,SWV,9,1140.45,-0.215,75,i1,8.0757621e-7,8.0757621e-7,-0.038,4.9727635e-7,4.9727635e-7,3.1029986000000004e-7,GC,1140.1833333333334,-0.39,130.33368,i2,1.049006e-8,1.049006e-8,-0.213,71.33329,6.1627685e-9,6.1627685e-9,4.327291499999999e-9
