# DNA modified electrode Data by Edmund Tse. 
# The third CV cycle for electrodes with well matched (wm) or mismatched (mm) duplex DNA,
# under aerobic or anaerobic conditions, and with or without PCN covalently attached.
E,Current,Construct,Aerobic,PCN
-0.348,1.35E-07,wm,TRUE,TRUE
-0.349,1.37E-07,wm,TRUE,TRUE
-0.35,1.40E-07,wm,TRUE,TRUE
-0.351,1.42E-07,wm,TRUE,TRUE
-0.352,1.45E-07,wm,TRUE,TRUE
-0.353,1.48E-07,wm,TRUE,TRUE
-0.354,1.50E-07,wm,TRUE,TRUE
-0.355,1.53E-07,wm,TRUE,TRUE
-0.356,1.56E-07,wm,TRUE,TRUE
-0.357,1.59E-07,wm,TRUE,TRUE
-0.358,1.62E-07,wm,TRUE,TRUE
-0.359,1.64E-07,wm,TRUE,TRUE
-0.36,1.67E-07,wm,TRUE,TRUE
-0.361,1.70E-07,wm,TRUE,TRUE
-0.362,1.73E-07,wm,TRUE,TRUE
-0.363,1.76E-07,wm,TRUE,TRUE
-0.364,1.80E-07,wm,TRUE,TRUE
-0.365,1.83E-07,wm,TRUE,TRUE
-0.366,1.86E-07,wm,TRUE,TRUE
-0.367,1.89E-07,wm,TRUE,TRUE
-0.368,1.93E-07,wm,TRUE,TRUE
-0.369,1.96E-07,wm,TRUE,TRUE
-0.37,1.99E-07,wm,TRUE,TRUE
-0.371,2.03E-07,wm,TRUE,TRUE
-0.372,2.06E-07,wm,TRUE,TRUE
-0.373,2.10E-07,wm,TRUE,TRUE
-0.374,2.14E-07,wm,TRUE,TRUE
-0.375,2.17E-07,wm,TRUE,TRUE
-0.376,2.21E-07,wm,TRUE,TRUE
-0.377,2.25E-07,wm,TRUE,TRUE
-0.378,2.28E-07,wm,TRUE,TRUE
-0.379,2.32E-07,wm,TRUE,TRUE
-0.38,2.36E-07,wm,TRUE,TRUE
-0.381,2.40E-07,wm,TRUE,TRUE
-0.382,2.44E-07,wm,TRUE,TRUE
-0.383,2.48E-07,wm,TRUE,TRUE
-0.384,2.52E-07,wm,TRUE,TRUE
-0.385,2.56E-07,wm,TRUE,TRUE
-0.386,2.61E-07,wm,TRUE,TRUE
-0.387,2.65E-07,wm,TRUE,TRUE
-0.388,2.69E-07,wm,TRUE,TRUE
-0.389,2.73E-07,wm,TRUE,TRUE
-0.39,2.78E-07,wm,TRUE,TRUE
-0.391,2.82E-07,wm,TRUE,TRUE
-0.392,2.87E-07,wm,TRUE,TRUE
-0.393,2.91E-07,wm,TRUE,TRUE
-0.394,2.96E-07,wm,TRUE,TRUE
-0.395,3.00E-07,wm,TRUE,TRUE
-0.396,3.05E-07,wm,TRUE,TRUE
-0.397,3.10E-07,wm,TRUE,TRUE
-0.398,3.15E-07,wm,TRUE,TRUE
-0.399,3.20E-07,wm,TRUE,TRUE
-0.4,3.25E-07,wm,TRUE,TRUE
-0.401,3.30E-07,wm,TRUE,TRUE
-0.402,3.35E-07,wm,TRUE,TRUE
-0.403,3.40E-07,wm,TRUE,TRUE
-0.404,3.45E-07,wm,TRUE,TRUE
-0.405,3.50E-07,wm,TRUE,TRUE
-0.406,3.55E-07,wm,TRUE,TRUE
-0.407,3.60E-07,wm,TRUE,TRUE
-0.408,3.66E-07,wm,TRUE,TRUE
-0.409,3.71E-07,wm,TRUE,TRUE
-0.41,3.77E-07,wm,TRUE,TRUE
-0.411,3.82E-07,wm,TRUE,TRUE
-0.412,3.88E-07,wm,TRUE,TRUE
-0.413,3.93E-07,wm,TRUE,TRUE
-0.414,3.99E-07,wm,TRUE,TRUE
-0.415,4.05E-07,wm,TRUE,TRUE
-0.416,4.11E-07,wm,TRUE,TRUE
-0.417,4.17E-07,wm,TRUE,TRUE
-0.418,4.23E-07,wm,TRUE,TRUE
-0.419,4.28E-07,wm,TRUE,TRUE
-0.42,4.34E-07,wm,TRUE,TRUE
-0.421,4.40E-07,wm,TRUE,TRUE
-0.422,4.47E-07,wm,TRUE,TRUE
-0.423,4.53E-07,wm,TRUE,TRUE
-0.424,4.59E-07,wm,TRUE,TRUE
-0.425,4.65E-07,wm,TRUE,TRUE
-0.426,4.72E-07,wm,TRUE,TRUE
-0.427,4.78E-07,wm,TRUE,TRUE
-0.428,4.85E-07,wm,TRUE,TRUE
-0.429,4.91E-07,wm,TRUE,TRUE
-0.43,4.98E-07,wm,TRUE,TRUE
-0.431,5.05E-07,wm,TRUE,TRUE
-0.432,5.11E-07,wm,TRUE,TRUE
-0.433,5.18E-07,wm,TRUE,TRUE
-0.434,5.25E-07,wm,TRUE,TRUE
-0.435,5.32E-07,wm,TRUE,TRUE
-0.436,5.39E-07,wm,TRUE,TRUE
-0.437,5.46E-07,wm,TRUE,TRUE
-0.438,5.54E-07,wm,TRUE,TRUE
-0.439,5.61E-07,wm,TRUE,TRUE
-0.44,5.68E-07,wm,TRUE,TRUE
-0.441,5.75E-07,wm,TRUE,TRUE
-0.442,5.83E-07,wm,TRUE,TRUE
-0.443,5.90E-07,wm,TRUE,TRUE
-0.444,5.98E-07,wm,TRUE,TRUE
-0.445,6.05E-07,wm,TRUE,TRUE
-0.446,6.13E-07,wm,TRUE,TRUE
-0.447,6.20E-07,wm,TRUE,TRUE
-0.448,6.28E-07,wm,TRUE,TRUE
-0.449,6.36E-07,wm,TRUE,TRUE
-0.45,6.31E-07,wm,TRUE,TRUE
-0.449,6.20E-07,wm,TRUE,TRUE
-0.448,6.10E-07,wm,TRUE,TRUE
-0.447,6.00E-07,wm,TRUE,TRUE
-0.446,5.93E-07,wm,TRUE,TRUE
